timestamp,id,d0,d1,d2,d3,d4,d5,d6,d7
1772991449.4110055,0x101,0F,23,02,00,00,00,00,00
1772991449.4223652,0x102,2B,00,00,00,00,00,00,00
1772991449.846413,0x101,0F,3C,02,00,00,00,00,00
1772991449.857766,0x102,2B,00,00,00,00,00,00,00
1772991450.2817802,0x101,0F,55,02,00,00,00,00,00
1772991450.2931614,0x102,2B,00,00,00,00,00,00,00
1772991450.7171807,0x101,0F,6E,02,00,00,00,00,00
1772991450.7285626,0x102,2B,00,00,00,00,00,00,00
1772991451.1525574,0x101,0F,87,02,00,00,00,00,00
1772991451.1639094,0x102,2C,00,00,00,00,00,00,00
1772991451.5879288,0x101,0F,A0,02,00,00,00,00,00
1772991451.599305,0x102,2C,00,00,00,00,00,00,00
1772991452.0233374,0x101,0F,B9,02,00,00,00,00,00
1772991452.0346909,0x102,2C,00,00,00,00,00,00,00
1772991452.4587262,0x101,0F,D2,02,00,00,00,00,00
1772991452.4701028,0x102,2D,00,00,00,00,00,00,00
1772991452.8941789,0x101,0F,EB,02,00,00,00,00,00
1772991452.9055426,0x102,2D,00,00,00,00,00,00,00
1772991453.3296058,0x101,10,04,02,00,00,00,00,00
1772991453.3409817,0x102,2D,00,00,00,00,00,00,00
1772991453.7650476,0x101,10,1D,02,00,00,00,00,00
1772991453.7764,0x102,2D,00,00,00,00,00,00,00
1772991454.2003977,0x101,10,36,02,00,00,00,00,00
1772991454.2117736,0x102,2E,00,00,00,00,00,00,00
1772991454.6362104,0x101,10,4F,02,00,00,00,00,00
1772991454.647542,0x102,2E,00,00,00,00,00,00,00
1772991455.071615,0x101,10,68,02,00,00,00,00,00
1772991455.0829604,0x102,2E,00,00,00,00,00,00,00
1772991455.506989,0x101,10,81,02,00,00,00,00,00
1772991455.5183568,0x102,2E,00,00,00,00,00,00,00
1772991455.942404,0x101,10,9A,02,00,00,00,00,00
1772991455.9537613,0x102,2F,00,00,00,00,00,00,00
1772991456.3777757,0x101,10,B3,02,00,00,00,00,00
1772991456.3891447,0x102,2F,00,00,00,00,00,00,00
1772991456.813173,0x101,10,CC,02,00,00,00,00,00
